option_id,question_id,option_value,option_label,option_keywords,display_order
ai_ml_primary,primary_tech_areas,ai_ml,Artificial Intelligence / Machine Learning,"AI,ML,neural networks,deep learning",1
cybersecurity_primary,primary_tech_areas,cybersecurity,Cybersecurity,"security,encryption,threat detection,zero trust",2
autonomy_primary,primary_tech_areas,autonomy,Autonomous Systems,"robotics,UAS,autonomous vehicles,navigation",3
communications_primary,primary_tech_areas,communications,Communications & Networking,"5G,satellite,RF,networking",4
sensors_primary,primary_tech_areas,sensors,Sensors & Detection,"radar,lidar,imaging,detection",5
materials_primary,primary_tech_areas,materials,Advanced Materials,"composites,nanomaterials,coatings,metamaterials",6
energy_primary,primary_tech_areas,energy,Energy & Power Systems,"batteries,fuel cells,power management,renewable",7
software_primary,primary_tech_areas,software,Software Engineering,"applications,systems software,DevSecOps,cloud",8
data_analytics_primary,primary_tech_areas,data_analytics,Data Analytics & Visualization,"big data,analytics,visualization,intelligence",9
quantum_primary,primary_tech_areas,quantum,Quantum Technologies,"quantum computing,quantum sensing,quantum communications",10
space_primary,primary_tech_areas,space,Space Technologies,"satellites,launch,space systems,orbital",11
biotechnology_primary,primary_tech_areas,biotechnology,Biotechnology & Medical,"biotech,medical devices,health monitoring,biosensors",12
manufacturing_primary,primary_tech_areas,manufacturing,Advanced Manufacturing,"3D printing,additive manufacturing,digital manufacturing",13
modeling_sim_primary,primary_tech_areas,modeling_sim,Modeling & Simulation,"M&S,digital twins,simulation,virtual environments",14
hypersonics_primary,primary_tech_areas,hypersonics,Hypersonics,"hypersonic,high-speed,thermal protection,scramjet",15
ai_ml_secondary,secondary_tech_areas,ai_ml,Artificial Intelligence / Machine Learning,"AI,ML,neural networks,deep learning",1
cybersecurity_secondary,secondary_tech_areas,cybersecurity,Cybersecurity,"security,encryption,threat detection,zero trust",2
autonomy_secondary,secondary_tech_areas,autonomy,Autonomous Systems,"robotics,UAS,autonomous vehicles,navigation",3
communications_secondary,secondary_tech_areas,communications,Communications & Networking,"5G,satellite,RF,networking",4
sensors_secondary,secondary_tech_areas,sensors,Sensors & Detection,"radar,lidar,imaging,detection",5
materials_secondary,secondary_tech_areas,materials,Advanced Materials,"composites,nanomaterials,coatings,metamaterials",6
energy_secondary,secondary_tech_areas,energy,Energy & Power Systems,"batteries,fuel cells,power management,renewable",7
software_secondary,secondary_tech_areas,software,Software Engineering,"applications,systems software,DevSecOps,cloud",8
data_analytics_secondary,secondary_tech_areas,data_analytics,Data Analytics & Visualization,"big data,analytics,visualization,intelligence",9
quantum_secondary,secondary_tech_areas,quantum,Quantum Technologies,"quantum computing,quantum sensing,quantum communications",10
space_secondary,secondary_tech_areas,space,Space Technologies,"satellites,launch,space systems,orbital",11
biotechnology_secondary,secondary_tech_areas,biotechnology,Biotechnology & Medical,"biotech,medical devices,health monitoring,biosensors",12
manufacturing_secondary,secondary_tech_areas,manufacturing,Advanced Manufacturing,"3D printing,additive manufacturing,digital manufacturing",13
modeling_sim_secondary,secondary_tech_areas,modeling_sim,Modeling & Simulation,"M&S,digital twins,simulation,virtual environments",14
hypersonics_secondary,secondary_tech_areas,hypersonics,Hypersonics,"hypersonic,high-speed,thermal protection,scramjet",15
army,agencies_worked_with,army,U.S. Army,,1
navy,agencies_worked_with,navy,U.S. Navy,,2
air_force,agencies_worked_with,air_force,U.S. Air Force,,3
space_force,agencies_worked_with,space_force,U.S. Space Force,,4
darpa,agencies_worked_with,darpa,DARPA,,5
disa,agencies_worked_with,disa,DISA,,6
dla,agencies_worked_with,dla,DLA,,7
mda,agencies_worked_with,mda,MDA,,8
socom,agencies_worked_with,socom,SOCOM,,9
other_dod,agencies_worked_with,other_dod,Other DoD,,10
nasa,agencies_worked_with,nasa,NASA,,11
doe,agencies_worked_with,doe,Department of Energy,,12
dhs,agencies_worked_with,dhs,DHS,,13
none_agency,agencies_worked_with,none,No prior DoD experience,,14
sbir_phase1,contract_types,sbir_phase1,SBIR Phase I,,1
sbir_phase2,contract_types,sbir_phase2,SBIR Phase II,,2
sbir_phase3,contract_types,sbir_phase3,SBIR Phase III,,3
sttr,contract_types,sttr,STTR,,4
baa,contract_types,baa,BAA,,5
